"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"60","University of Illinois",1707,468,351,236,3308,218,190,64,5015,686,541,300,78.9,75,87.16,10.79,6.59,"Public",21,513,3.76,310,20.65,NA,20.5623901581722,5.74365175332527,3.58002034964388,"IL"
"61","University of Nebraska",308,288,128,113,1347,184,48,18,1655,472,176,131,37.3,44.44,26.09,10.63,13.66,"Public",14,513,3.9,126,14.29,"No",41.5584415584416,3.56347438752784,11.6623376623377,"NE"
"62","University of Arizona",768,278,136,89,8795,200,80,28,9563,478,216,117,45.2,48.92,40,2.26,2.27,"Public",24,510,3.79,120,23.33,"No",17.7083333333333,0.909607731665719,19.4680989583333,"AZ"
"63","Texas A&M",4149,585,354,157,1009,82,31,18,5158,667,385,175,57.7,60.51,37.8,7.46,8.13,"Public",10,513,3.84,126,14.29,"No",8.53217642805495,3.07234886025768,2.77708581158305,"TX"
"64","University of Kentucky",579,378,208,171,2198,140,58,34,2777,518,266,205,51.4,55.03,41.43,9.58,6.37,"Public",17,508,3.81,166,20.48,NA,35.9240069084629,2.63876251137398,13.6139598594485,"KY"
"65","University of Vermont",76,67,46,30,5524,563,267,94,5600,630,313,124,49.7,68.66,47.42,5.59,10.19,"Public",76,512,3.7,119,78.99,"Yes",60.5263157894737,4.83345401882694,12.5223733491031,"VT"
"66","Virginia Commonwealth",1121,359,166,94,6188,335,203,92,7309,694,369,186,53.2,46.24,60.6,5.05,5.41,"Public",49,513,3.82,184,50,NA,14.8082069580731,3.28054298642534,4.51394998308161,"VA"
"67","Hofstra",1257,310,142,54,2848,530,198,45,4105,840,340,99,40.5,45.81,37.36,8.28,18.61,"Private",45,518,3.84,99,45.45,"Yes",11.296738265712,6.95224719101124,1.62490457478524,"NY"
"68","Rush University",900,127,73,53,6586,382,235,102,7486,509,308,155,60.5,57.48,61.52,4.11,5.8,"Private",66,511,3.67,144,70.83,"Yes",8.11111111111111,3.56817491648952,2.27318203309693,"IL"
"69","Rutgers (Robert Johnson)",1478,422,237,134,4121,131,82,40,5599,553,319,174,57.7,56.16,62.6,5.7,3.18,"Public",23,514,3.75,174,22.99,NA,16.0351826792963,1.98980829895656,8.05865705138783,"NJ"
"70","Rutgers New Jersey",1465,485,229,149,4044,289,135,29,5509,774,364,178,47,47.22,46.71,6.61,7.15,"Public",16,515,3.82,178,16.29,NA,15.6313993174061,3.33827893175074,4.68247250663633,"NJ"
"71","Temple University",978,349,157,101,7390,620,290,117,8368,969,447,218,46.1,44.99,46.77,5.34,8.39,"Private",54,513,3.77,200,58.5,"Yes",16.0531697341513,3.92422192151556,4.09079049432339,"PA"
"72","University of Tennessee",710,455,210,154,1356,72,39,16,2066,527,249,170,47.2,46.15,54.17,12.05,5.31,"Public",9,513,3.82,170,9.41,"No",29.5774647887324,2.87610619469027,10.2838569880823,"TN"
"73","Wayne State University",1745,612,369,203,7775,572,353,88,9520,1184,722,291,61,60.29,61.71,7.58,7.36,"Public",30,513,3.86,288,30.56,NA,21.1461318051576,4.54019292604502,4.65754036218414,"MI"
"74","University of Kansas",515,379,212,186,2542,165,50,25,3057,544,262,211,48.2,55.94,30.3,8.57,6.49,"Public",12,511,3.88,211,11.85,"No",41.1650485436893,1.9669551534225,20.9283106796117,"KS"
"75","Buffalo (Jacobs)",1969,475,277,159,2392,131,67,23,4361,606,344,182,56.8,58.32,51.15,7.89,5.48,"Public",13,512,3.75,184,12.5,"No",14.0680548501778,2.80100334448161,5.02250555248137,"NY"
"76","University of Arkansas",338,324,190,160,690,84,18,8,1028,408,208,168,51,58.64,21.43,20.23,12.17,"Public",5,508,3.77,168,4.76,"No",56.2130177514793,2.60869565217391,21.5483234714004,"AR"
"77","University of Oklahoma",434,284,174,153,2365,45,32,11,2799,329,206,164,62.6,61.27,71.11,7.36,1.9,"Public",7,511,3.85,165,6.67,"No",40.0921658986175,1.35306553911205,29.630616359447,"OK"
