"School","USNWR Ranking Research","USNWR Primary Care Ranking","Apps IS","IS II","IS Accepted","IS enrolled","Apps OOS","OOS II","OOS Accepted","OOS enrolled","Total apps","TOTAL II","total accepted","Total enrolled","post II % A","IS % post II-A","OOS % post II-A","A % rate","Step 1","Step 1 % pass","step 2","step 2 pass","OOS II/OOS applicants","Public/Private","OOS/IS matriculants","Median MCAT","Median GPA","# international students matriculated","notes","class size","% of students OOS","apply OOS to public state school?","","","",""
"SUNY Upstate","88"," ","2066","543","335","141","2305","177","78","19","4371","720","413","160","57.4","61.69","44.07","9.45%","230","98%","245","99%","7.68","Public - NY","12%","513","3.77"," "," "," "," "," "," "," "," "," "
"Nevada Reno","90","84","343","267","83","64","1300","76","18","6","1643","343","101","70","29.4","31.09","23.68","6.15%","232","98%","244","98%","5.85","Public - NV","9%","509","3.82"," "," ","70","8.57%"," "," "," "," "," "
"NYMC","90"," ","1933","508","243","112","8863","481","220","100","10796","989","463","212","46.8","47.83","45.74","4.29%","233","99%","241","98%","5.43","Private-NY","47%","513","3.72"," "," ","210","47.62%"," "," "," "," "," "
"U South Carolina","90","76","462","225","140","73","2807","115","61","26","3269","340","201","99","59.1","62.22","53.04","6.15%","230","99%","237","99%","4.10","Public -SC","26%","508","3.79"," "," ","100","26.00%"," "," "," "," "," "
"Cooper"," "," ","1205","217","147","82","4780","177","94","29","5985","394","241","111","61.2","67.74","53.11","4.03%","233","97%","244","96%","3.70","Public - NJ","26%","512","3.79"," "," ","107","27.10%","YES "," "," "," "," "
"East Carolina (Brody ECU)"," ","28","1036","434","143","86","0","0","0","0","1036","434","143","86","32.9","32.95"," ","13.80%","231","99%","243","96%"," ","Public - NC","0%","509","3.71"," "," ","86","0.00%"," "," "," "," "," "
"East Tennessee"," ","64","636","251","89","56","1797","67","24","16","2433","318","113","72","35.5","35.46","35.82","4.64%","229","97%","244","98%","3.73","Public-TN","22%","508","3.81"," "," ","72","22.22%"," "," "," "," "," "
"FAU"," "," ","2134","217","104","43","1617","105","50","22","3751","322","154","65","47.8","47.93","47.62","4.11%","231","95%","249","100%","6.49","Public - FL","34%","513","3.8"," "," ","65","33.85%","YES"," "," "," "," "
"Florida International University"," "," ","2455","357","215","97","2418","155","105","23","4672","553","320","120","57.9","60.42","51.48","6.85%","241","100%","246","99%","7.74","Public-FL","19%","511","3.79"," "," ","120","18.33%"," "," "," "," "," "
"Florida State University"," ","79","2695","254","144","118","4453","18","5","2","7148","272","149","120","54.8","56.69","51.48","2.08%","227","95%","243","97%","0.40","Public - FL","2%","508","3.76"," "," ","120","1.67%"," "," "," "," "," "
"Frank H Netter Quinnipiac"," "," ","385","118","84","39","6833","287","213","56","7704","343","296","95","86.3","85.51","86.50","3.84%","231","98%","246","100%","3.77","Private-CT","59%","514","3.71"," "," ","94","60.20%"," "," "," "," "," "
"Howard"," ","84","38","25","9","7","8720","325","247","111","8758","350","256","118","73.1","36.00","76.00","2.92%","213","86%","229","89%","3.73","Private - DC","94%","505","3.53"," "," ","120","92.50%"," "," "," "," "," "
"LSU Shreveport"," "," ","604","306","230","140","2107","13","11","8","2711","319","241","148","75.5","75.16","84.62","8.89%","219","86%","241","99%","0.62","Public - LO","5%","506","3.77"," "," "," "," "," "," "," "," "," "
"Marshall"," "," ","209","146","95","69","1922","56","15","11","2131","202","110","80","54.5","65.07","26.79","5.16%","218","89%","237","97%","2.91","Public - WV","14%","502","3.7"," "," ","79","13.92%"," "," "," "," "," "
"Tennessee"," ","80","710","455","210","154","1356","72","39","16","2066","527","249","170","47.2","46.15","54.17","12.05%","228","93%","245","98%","5.31","Public - TN","9%","513","3.82"," "," ","170","9.41%"," "," "," "," "," "
"Texas Tech Lubbock"," ","69","3288","775","307","164","584","78","44","16","3872","853","351","180","41.1","39.61","56.41","9.07%","229","98%","242","99%","13.36","Public - TX","9%","510","3.87"," "," ","180","8.89%"," "," "," "," "," "
"Toledo"," "," ","937","246","223","124","3551","136","119","52","4488","382","342","176","89.5","90.65","87.50","7.62%","228","98%","247","99%","3.83","Public - OH","30%","510","3.76"," "," ","175","29.71%","YES"," "," "," "," "
"UC Riverside"," "," ","3652","277","125","77","141","4","3","1","3793","281","128","78","45.6","45.13"," ","3.37%","229","93%","243","96%"," ","Public - CA","1%","508","3.59"," "," ","70","1.43%"," "," "," "," "," "
"TCU & University of North Texas Health Science Center"," ","57","3454","710","425","221","748","54","44","16","4202","764","469","237","61.4","59.86","81.48","11.16%","227","97%","238","98%","7.22","Public-TX","7%","510","3.71"," "," ","60","26.67%"," "," "," "," "," "
"Wright State Boonshoft"," ","80","1176","258","143","79","6347","135","71","39","7523","393","214","118","54.5","55.43","52.59","2.84%","227","98%","231","100%","2.13","Public - OH","33%","508","3.73"," "," ","120","32.50%"," "," "," "," "," "
"Loyola University Chicago Stritch School of Medicine"," "," ","1686","166","101","59","13219","484","328","116","14905","650","429","175","66.0","60.84","67.77","2.88%"," "," "," "," ","3.66","Private-IL","66%","512","3.76"," "," ","165","70.30%"," "," "," "," "," "
"MCW (unranked 2021)"," "," ","658","282","236","137","4738","329","289","113","5396","611","525","250","85.9","83.69","87.84","9.73%","231","97%","239","97%","6.94","Private - WI","45%","511","3.73"," "," ","250","45.20%"," "," "," "," "," "
"Michigan State (unranked 2021)"," "," ","1653","370","192","135","4742","122","71","55","6395","492","263","190","53.5","51.89","58.20","4.11%","224","93%","237","92%","2.57","Public - MI","29%","509","3.76"," "," ","190","28.95%"," "," "," "," "," "
